Yr_Sold,1st_Flr_SF,Bedroom_AbvGr,Bldg_Type,Bsmt_Full_Bath,Bsmt_Half_Bath,Central_Air,Condition_1,Condition_2,Electrical,Exter_Cond,Exter_Qual,Exterior_1st,Exterior_2nd,Foundation,Full_Bath,Functional,Gr_Liv_Area,Half_Bath,Heating,Heating_QC,House_Style,Kitchen_AbvGr,Kitchen_Qual,Land_Contour,Land_Slope,Lot_Area,Lot_Config,Lot_Shape,MS_SubClass,MS_Zoning,Mas_Vnr_Type,Mo_Sold,Neighborhood,Overall_Cond,Overall_Qual,Paved_Drive,Roof_Matl,Roof_Style,SalePrice,Sale_Condition,Sale_Type,Street,TotRms_AbvGrd,Utilities,Year_Built,Year_Remod/Add
2008,1414,3,1Fam,1,0,Y,Norm,Norm,SBrkr,TA,Ex,MetalSd,MetalSd,CBlock,1,Min1,1414,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11029,Corner,IR1,20,RL,None,5,NAmes,8,6,Y,CompShg,Hip,176500,Normal,WD ,Pave,6,AllPub,1958,2002
2008,2117,4,1Fam,0,0,Y,Norm,Norm,SBrkr,TA,TA,BrkFace,Plywood,CBlock,2,Typ,2117,1,GasA,Ex,1Story,1,TA,Lvl,Gtl,12925,Corner,IR1,20,RL,None,5,NAmes,7,6,Y,CompShg,Gable,237500,Normal,WD ,Pave,7,AllPub,1970,1970
2008,1092,4,1Fam,0,0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,2,Typ,2112,1,GasA,TA,2Story,1,TA,Lvl,Gtl,11075,Inside,Reg,60,RL,None,6,NAmes,5,6,Y,CompShg,Gable,206900,Normal,WD ,Pave,9,AllPub,1969,1969
2008,926,3,1Fam,0,0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,PConc,2,Typ,1604,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,8702,Inside,IR1,60,RL,None,4,Gilbert,5,6,Y,CompShg,Gable,187500,Normal,WD ,Pave,7,AllPub,1997,1998
2008,680,3,1Fam,0,0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,PConc,2,Typ,1470,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,8139,Inside,Reg,60,RL,BrkFace,10,Gilbert,5,6,Y,CompShg,Gable,165000,Normal,WD ,Pave,7,AllPub,1995,1996
2008,926,3,1Fam,0,0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,PConc,2,Typ,1604,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,9535,Inside,IR1,60,RL,None,5,Gilbert,5,6,Y,CompShg,Gable,195500,Normal,WD ,Pave,7,AllPub,1998,1998
2008,943,3,1Fam,1,0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,PConc,2,Typ,1638,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,9042,Inside,IR1,60,RL,None,7,Gilbert,5,6,Y,CompShg,Gable,192000,Normal,WD ,Pave,7,AllPub,1998,1998
2008,916,3,1Fam,0,0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1636,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,15038,Corner,IR2,60,RL,None,11,Gilbert,5,6,Y,CompShg,Gable,173000,Normal,WD ,Pave,7,AllPub,1996,1996
2008,1384,3,1Fam,1,0,Y,Norm,Norm,SBrkr,TA,Gd,HdBoard,HdBoard,PConc,2,Typ,1384,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,14137,Inside,IR1,20,RL,None,11,Gilbert,5,5,Y,CompShg,Gable,177900,Normal,WD ,Pave,7,AllPub,1996,1997
2008,729,3,1Fam,0,1,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,PConc,2,Typ,1446,1,GasA,Ex,2Story,1,TA,HLS,Gtl,21872,FR2,IR2,60,RL,None,8,Gilbert,5,7,Y,CompShg,Gable,175000,Normal,WD ,Pave,6,AllPub,1996,1997
